Company / Agency,Email,Type,Status,Date Applied,Follow-up Date,Notes,Opening Scan Status,Matched Role(s),Opening Source URL(s),Confidence,Recommended Action,Scan Date
ADCB,careers@adcb.com,Direct Employer,Applied,,,,No Clear Opening Found,,,Low,Monitor and outreach,2026-06-02
AECOM UAE,https://ae-careers.aecom.com/,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Accor Hotels UAE,hrd@accor.com,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Amazon UAE,aws-careers-emea@amazon.com ; hiring@amazon.com,Direct Employer,To Contact,,,,No Relevant UAE Opening Found,Sr Product Designer found outside UAE,https://www.amazon.jobs/jobs/3173021,Low,Skip unless open to non-UAE,2026-06-02
Aster DM Healthcare,careers@asterhospital.com,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Bayt.com,hr@bayt.com,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Careem,careers@careem.com ; https://jobs.careem.com/,Direct Employer,To Contact,,,,Openings Found,Senior Product Designer; Senior Product Designer - Design System,https://tenurecareers.io/jobs/senior-product-designer-careem-dubai | https://designproject.io/jobs/jobs/senior-product-designer-at-careem-ub5m1e,High,Tailor resume and apply on company site,2026-06-02
Carrefour UAE,https://www.carrefouruaecareers.com/,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
DAMAC Properties,careers@damacgroup.com,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
DEWA,recruitment@dewa.gov.ae,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
DP World,careers@dpworld.com,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Deloitte Middle East,careers@deloitte.com,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Dubai Airports,careers@dubaiairports.ae,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Dubai Municipality,careers@dm.gov.ae,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
EVOQ (Real Estate),WhatsApp: +971523321256,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
EY UAE,careers@ae.ey.com,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Emaar Properties,careers@emaar.ae ; https://www.emaar.com/en/careers,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Emirates Group,careers@emirates.com ; https://www.emiratesgroupcareers.com/,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Emirates NBD,careers@emiratesnbd.com,Direct Employer,To Contact,,,,Opening Found via Agency,Senior Product Designer (Design Systems); older Product Designer listing,https://www.glassdoor.com/job-listing/senior-product-designer-design-systems-gsstech-group-JV_IC2204498_KO0%2C38_KE39%2C52.htm?jl=1010083370981 | https://www.hubmub.com/jobs/596850/product-designer,Medium,Apply via GSSTech or verify direct careers,2026-06-02
Etisalat,careers@etisalat.ae,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Etisalat (e&),careers@etisalat.ae ; https://careers.etisalat.ae/,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Flydubai,careers@flydubai.com,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Google UAE,careers@google.com,Direct Employer,To Contact,,,,No Relevant UAE Opening Found,,,Low,Monitor careers,2026-06-02
HSBC UAE,careersuae@hsbc.com,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Hilton Hotels UAE,uajobs@hilton.com,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Jumeirah Group,careers@jumeirah.com,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
KPMG UAE,careers@kpmg.com,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Majid Al Futtaim,https://careers.majidalfuttaim.com/,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Marriott International UAE,careers@marriott.com,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Mashreq Bank,careers@mashreqbank.com,Direct Employer,To Contact,,,,No Clear Opening Found,,,Low,Monitor and outreach,2026-06-02
Mediclinic Middle East,recruitment@mediclinic.ae,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Microsoft Gulf,careers@microsoft.com,Direct Employer,To Contact,,,,No Relevant UAE Opening Found,UX Designer result found outside UAE,https://designproject.io/jobs/jobs/ux-designer-ii-at-microsoft-x2ydsb,Low,Monitor careers,2026-06-02
Nakheel,careers@nakheel.com,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Noon,talent@noon.com ; careers@noon.com,Direct Employer,To Contact,,,,Needs Verification,"Product Designer result found, likely Gurgaon not Dubai",https://jobs.weekday.works/noon-product-designer,Low,Verify location before applying,2026-06-02
Oracle Middle East,oraclecareers@oracle.com,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Property Finder,careers@propertyfinder.ae,Direct Employer,Applied,2026-06-02,2026-06-09,ATS 86/100. Tailored resume: resumes/property-finder-product-designer-resume.md. Report: resumes/property-finder-product-designer-ats-report.md. Figma: https://www.figma.com/design/or9EJUqIuF1yN5SEJ15LtP | Gmail sent id: 19e896596bf0a734,Opening Found,Product Designer,https://www.remotedxb.com/job/product-designer-property-finder,High,Apply now with tailored resume and email,2026-06-02
PwC Middle East,careers@pwc.com,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
RTA Dubai,hr@rta.ae,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Rotana Hotels,https://www.rotanacareers.com/,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
SAP Middle East,careers@sap.com,Direct Employer,To Contact,,,,No Relevant UAE Opening Found,,,Low,Monitor careers,2026-06-02
Saudi German Hospital Dubai,careers@saudigerman.com,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Standard Chartered UAE,careers@sc.com,Direct Employer,To Contact,,,,Needs Manual Check,,,Unknown,Run company careers/LinkedIn check,2026-06-02
Talabat,careers@talabat.com ; https://corporate.talabat.com/careers/,Direct Employer,To Contact,,,,Openings Found,Staff Product Designer; Product Designer,https://designproject.io/jobs/staff-product-designer-global-hub-q-commerce-at-delivery-hero-devjh1 | https://ae.indeed.com/viewjob?jk=4027932f0f2914b3,High,Tailor resume and apply,2026-06-02
